
LAST_NAME                |=|ZIP  |=|ST|=|CITY                                                                                     
-------------------------|=|-----|=|--|=|-------------------------                                                                
Norman                   |=|01247|=|MA|=|North Adams                                                                              
Kocka                    |=|02124|=|MA|=|Dorchester                                                                               
Sethi                    |=|02155|=|MA|=|Tufts Univ. Bedford                                                                      
La Blank                 |=|02189|=|MA|=|Weymouth                                                                                 
Boremmann                |=|02563|=|MA|=|Sandwich                                                                                 
Ancean                   |=|06483|=|CT|=|Oxford                                                                                   
Madej                    |=|06605|=|CT|=|Bridgeport                                                                               
Thares                   |=|06798|=|CT|=|Woodbury                                                                                 
Scrittorale              |=|06820|=|WV|=|Georgetown                                                                               
Kiraly                   |=|06820|=|WV|=|Georgetown                                                                               
Padel                    |=|06820|=|WV|=|Georgetown                                                                               
Meshaj                   |=|06830|=|CT|=|Greenwich                                                                                
Dennis                   |=|06830|=|CT|=|Greenwich                                                                                
Dalvi                    |=|06830|=|CT|=|Greenwich                                                                                
Allende                  |=|06850|=|CT|=|Norwalk                                                                                  
Essner                   |=|06851|=|CT|=|Norwalk                                                                                  
Lopez                    |=|06853|=|CT|=|Rowayton                                                                                 
Andrew                   |=|06870|=|CT|=|Old Greenwich                                                                            
Tucker                   |=|06877|=|CT|=|Ridgefield                                                                               
Cheevens                 |=|06880|=|CT|=|Westport                                                                                 
Miller                   |=|06880|=|CT|=|Westport                                                                                 
Bunnell                  |=|06902|=|CT|=|Stamford                                                                                 
Segall                   |=|06903|=|CT|=|Stamford                                                                                 
Annina                   |=|06903|=|CT|=|Stamford                                                                                 
Archor                   |=|06905|=|CT|=|Stamford                                                                                 
Caro                     |=|06907|=|CT|=|Stamford                                                                                 
Wicelinski               |=|07003|=|NJ|=|Bloomfiel                                                                                
Intal                    |=|07003|=|NJ|=|Bloomfiel                                                                                
Jameson                  |=|07008|=|NJ|=|Carteret                                                                                 
Kelly                    |=|07010|=|NJ|=|Cliffside Park                                                                           
Velasco                  |=|07010|=|NJ|=|Cliffside Park                                                                           
Mulroy                   |=|07010|=|NJ|=|Cliffside Park                                                                           
Lopez                    |=|07010|=|NJ|=|Cliffside Park                                                                           
Mithane                  |=|07010|=|NJ|=|Cliffside Park                                                                           
Tucker                   |=|07010|=|NJ|=|Cliffside Park                                                                           
Ordes                    |=|07011|=|NJ|=|Clifton                                                                                  
Orent                    |=|07011|=|NJ|=|Clifton                                                                                  
Tangaribuan              |=|07012|=|NJ|=|Clifton                                                                                  
Owens                    |=|07012|=|NJ|=|Clifton                                                                                  
Velasco                  |=|07016|=|NJ|=|Cranford                                                                                 
Cowie                    |=|07016|=|NJ|=|Cranford                                                                                 
Bresser, HR Rep.         |=|07023|=|NJ|=|Fanwood                                                                                  
Moskowitz                |=|07024|=|NJ|=|Ft. Lee                                                                                  
Kwong                    |=|07024|=|NJ|=|Ft. Lee                                                                                  
Delbrun                  |=|07024|=|NJ|=|Ft. Lee                                                                                  
Ginestra                 |=|07024|=|NJ|=|Ft. Lee                                                                                  
Porch                    |=|07024|=|NJ|=|Ft. Lee                                                                                  
Walston                  |=|07024|=|NJ|=|Ft. Lee                                                                                  
Citron                   |=|07024|=|NJ|=|Ft. Lee                                                                                  
Limate                   |=|07024|=|NJ|=|Ft. Lee                                                                                  
Naso                     |=|07024|=|NJ|=|Ft. Lee                                                                                  
Cook                     |=|07029|=|NJ|=|Harrison                                                                                 
Edwards                  |=|07036|=|NJ|=|Lyndon                                                                                   
