
        ID|=|FIRST_NAME               |=|LAST_NAME                |=|PHONE                                                        
----------|=|-------------------------|=|-------------------------|=|---------------                                              
       119|=|Mardig                   |=|Abdou                    |=|718-555-5555                                                 
       399|=|Jerry                    |=|Abdou                    |=|718-555-5555                                                 
       257|=|Suzanne M.               |=|Abid                     |=|718-555-5555                                                 
       190|=|Alan                     |=|Affinito                 |=|201-555-5555                                                 
       309|=|Carlos                   |=|Airall                   |=|718-555-5555                                                 
       120|=|Ralph                    |=|Alexander                |=|718-555-5555                                                 
       198|=|Edwin                    |=|Allende                  |=|203-555-5555                                                 
       385|=|Yvonne                   |=|Allende                  |=|718-555-5555                                                 
       312|=|Maria                    |=|Allende                  |=|718-555-5555                                                 
       356|=|John                     |=|Ancean                   |=|203-555-5555                                                 
       162|=|Genny                    |=|Andrew                   |=|203-555-5555                                                 
       371|=|Craig                    |=|Anglin                   |=|718-555-5555                                                 
       334|=|Sarah                    |=|Annina                   |=|203-555-5555                                                 
       206|=|Freedon                  |=|annunziato               |=|718-555-5555                                                 
       322|=|Oscar                    |=|Archer                   |=|718-555-5555                                                 
       302|=|Rita                     |=|Archor                   |=|203-555-5555                                                 
       172|=|Maria                    |=|Arias                    |=|718-555-5555                                                 
       127|=|Gary                     |=|Aung                     |=|718-555-5555                                                 
       317|=|Cathy                    |=|Austin                   |=|718-555-5555                                                 
       358|=|Valerie                  |=|Avia                     |=|718-555-5555                                                 
       202|=|Mary                     |=|Axch                     |=|718-555-5555                                                 
       140|=|Derrick                  |=|Baltazar                 |=|718-555-5555                                                 
       170|=|P.                       |=|Balterzar                |=|718-555-5555                                                 
       252|=|Nana                     |=|Barogh                   |=|718-555-5555                                                 
       388|=|Anna                     |=|Bathmanapan              |=|718-555-5555                                                 
       160|=|John T.                  |=|Beitler                  |=|201-555-5555                                                 
       271|=|Jose                     |=|Benitez                  |=|201-555-5555                                                 
       143|=|Gerard                   |=|Biers                    |=|718-555-5555                                                 
       253|=|Walter                   |=|Boremmann                |=|617-555-5555                                                 
       195|=|Regina                   |=|Bose                     |=|718-555-5555                                                 
       175|=|Debra                    |=|Boyce                    |=|718-555-5555                                                 
       141|=|Robert                   |=|Boyd                     |=|718-555-5555                                                 
       387|=|Paul                     |=|Braun                    |=|201-555-5555                                                 
       234|=|Joel                     |=|Brendler                 |=|718-555-5555                                                 
       200|=|Gene                     |=|Bresser, HR Rep.         |=|201-555-5555                                                 
       174|=|Michael                  |=|Brown                    |=|718-555-5555                                                 
       171|=|Denise                   |=|Brownstein               |=|718-555-5555                                                 
       346|=|Joane                    |=|Buckberg                 |=|201-555-5555                                                 
       181|=|Anthony                  |=|Bullock                  |=|718-555-5555                                                 
       247|=|Frank                    |=|Bunnell                  |=|203-555-5555                                                 
       292|=|Austin V.                |=|Cadet                    |=|201-555-5555                                                 
       147|=|Judy                     |=|Cahouet                  |=|718-555-5555                                                 
       306|=|Norman                   |=|Callender                |=|718-555-5555                                                 
       235|=|Michael                  |=|Carcia                   |=|718-555-5555                                                 
       345|=|Peter                    |=|Carey                    |=|718-555-5555                                                 
       270|=|Charles                  |=|Caro                     |=|203-555-5555                                                 
       254|=|Melvina                  |=|Chamnonkool              |=|718-555-5555                                                 
